notificationId,userId,title,message,sentAt,isRead
NOT-10023,USR-1088,Vaccination Completed,Your monthly health report is ready for download.,2026-08-20T00:00:00Z,True
NOT-10024,USR-1011,Inspection Scheduled,Vaccination campaign completed successfully. Records updated.,2026-07-30T00:00:00Z,False
NOT-10025,USR-1068,Vaccination Due Reminder,Vaccination campaign completed successfully. Records updated.,2026-07-31T00:00:00Z,True
NOT-10026,USR-1033,Vaccination Due Reminder,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-26T00:00:00Z,False
NOT-10027,USR-1009,Government Advisory Issued,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-05T00:00:00Z,False
NOT-10028,USR-1034,Vaccination Completed,Your farm biosecurity score has been updated. Check the latest assessment.,2026-07-29T00:00:00Z,True
NOT-10029,USR-1074,New Veterinarian Assigned,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-23T00:00:00Z,False
NOT-10030,USR-1018,Compliance Certificate Issued,Your monthly health report is ready for download.,2026-08-07T00:00:00Z,False
NOT-10031,USR-1085,Disease Alert in Your District,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-11T00:00:00Z,True
NOT-10032,USR-1073,New Veterinarian Assigned,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-12T00:00:00Z,False
NOT-10033,USR-1041,Vaccination Completed,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-20T00:00:00Z,True
NOT-10034,USR-1033,Government Advisory Issued,Vaccination campaign completed successfully. Records updated.,2026-08-25T00:00:00Z,False
NOT-10035,USR-1071,Inspection Scheduled,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-07T00:00:00Z,True
NOT-10036,USR-1088,Disease Alert in Your District,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-12T00:00:00Z,True
NOT-10037,USR-1027,Vaccination Due Reminder,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-21T00:00:00Z,False
NOT-10038,USR-1049,Inspection Scheduled,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-24T00:00:00Z,False
NOT-10039,USR-1026,Compliance Certificate Issued,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-11T00:00:00Z,False
NOT-10040,USR-1097,Government Advisory Issued,Vaccination campaign completed successfully. Records updated.,2026-08-13T00:00:00Z,True
NOT-10041,USR-1064,Disease Alert in Your District,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-20T00:00:00Z,False
NOT-10042,USR-1049,New Veterinarian Assigned,Your compliance certificate has been issued for this quarter.,2026-08-11T00:00:00Z,True
NOT-10043,USR-1099,Report Ready for Download,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-25T00:00:00Z,False
NOT-10044,USR-1054,Biosecurity Score Updated,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-18T00:00:00Z,True
NOT-10045,USR-1018,New Veterinarian Assigned,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-04T00:00:00Z,True
NOT-10046,USR-1030,Vaccination Due Reminder,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-22T00:00:00Z,False
NOT-10047,USR-1003,New Veterinarian Assigned,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-11T00:00:00Z,False
NOT-10048,USR-1045,Government Advisory Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-07-29T00:00:00Z,True
NOT-10049,USR-1045,Report Ready for Download,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-23T00:00:00Z,False
NOT-10050,USR-1064,Report Ready for Download,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-17T00:00:00Z,True
NOT-10051,USR-1056,Government Advisory Issued,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-24T00:00:00Z,True
NOT-10052,USR-1083,Report Ready for Download,Vaccination campaign completed successfully. Records updated.,2026-07-29T00:00:00Z,False
NOT-10053,USR-1024,Government Advisory Issued,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-15T00:00:00Z,True
NOT-10054,USR-1076,Government Advisory Issued,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-08T00:00:00Z,False
NOT-10055,USR-1066,Report Ready for Download,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-06T00:00:00Z,True
NOT-10056,USR-1082,Inspection Scheduled,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-20T00:00:00Z,True
NOT-10057,USR-1006,Vaccination Due Reminder,Your compliance certificate has been issued for this quarter.,2026-08-19T00:00:00Z,True
NOT-10058,USR-1008,Farm Registration Approved,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-19T00:00:00Z,True
NOT-10059,USR-1079,Vaccination Completed,Vaccination campaign completed successfully. Records updated.,2026-08-15T00:00:00Z,False
NOT-10060,USR-1050,Disease Alert in Your District,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-04T00:00:00Z,False
NOT-10061,USR-1063,Inspection Scheduled,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-02T00:00:00Z,True
NOT-10062,USR-1044,Emergency Alert,A new government advisory has been issued for your district. Please review immediately.,2026-08-05T00:00:00Z,False
NOT-10063,USR-1093,Vaccination Due Reminder,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-22T00:00:00Z,False
NOT-10064,USR-1094,Government Advisory Issued,Vaccination campaign completed successfully. Records updated.,2026-08-20T00:00:00Z,True
NOT-10065,USR-1040,Emergency Alert,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-22T00:00:00Z,True
NOT-10066,USR-1042,New Veterinarian Assigned,Your farm biosecurity score has been updated. Check the latest assessment.,2026-07-28T00:00:00Z,True
NOT-10067,USR-1085,New Veterinarian Assigned,Your monthly health report is ready for download.,2026-08-17T00:00:00Z,True
NOT-10068,USR-1022,Government Advisory Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-22T00:00:00Z,True
NOT-10069,USR-1076,AI Health Alert,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-09T00:00:00Z,True
NOT-10070,USR-1062,Inspection Scheduled,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-24T00:00:00Z,True
NOT-10071,USR-1002,Compliance Certificate Issued,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-18T00:00:00Z,True
NOT-10072,USR-1067,Farm Registration Approved,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-03T00:00:00Z,True
NOT-10073,USR-1099,Disease Alert in Your District,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-18T00:00:00Z,False
NOT-10074,USR-1057,New Veterinarian Assigned,Vaccination campaign completed successfully. Records updated.,2026-08-16T00:00:00Z,False
NOT-10075,USR-1084,New Veterinarian Assigned,A new government advisory has been issued for your district. Please review immediately.,2026-08-16T00:00:00Z,False
NOT-10076,USR-1001,AI Health Alert,A new government advisory has been issued for your district. Please review immediately.,2026-08-05T00:00:00Z,False
NOT-10077,USR-1066,Emergency Alert,Your compliance certificate has been issued for this quarter.,2026-08-12T00:00:00Z,True
NOT-10078,USR-1034,Emergency Alert,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-04T00:00:00Z,True
NOT-10079,USR-1018,Report Ready for Download,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-06T00:00:00Z,True
NOT-10080,USR-1045,New Veterinarian Assigned,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-20T00:00:00Z,False
NOT-10081,USR-1046,Inspection Scheduled,Vaccination campaign completed successfully. Records updated.,2026-08-25T00:00:00Z,True
NOT-10082,USR-1048,Emergency Alert,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-07-28T00:00:00Z,False
NOT-10083,USR-1080,Emergency Alert,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-07-30T00:00:00Z,False
NOT-10084,USR-1067,Biosecurity Score Updated,A new government advisory has been issued for your district. Please review immediately.,2026-07-29T00:00:00Z,False
NOT-10085,USR-1042,Report Ready for Download,Your compliance certificate has been issued for this quarter.,2026-08-14T00:00:00Z,False
NOT-10086,USR-1039,Inspection Scheduled,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-09T00:00:00Z,False
NOT-10087,USR-1078,Disease Alert in Your District,Your monthly health report is ready for download.,2026-08-02T00:00:00Z,False
NOT-10088,USR-1072,AI Health Alert,A new government advisory has been issued for your district. Please review immediately.,2026-08-24T00:00:00Z,True
NOT-10089,USR-1063,Emergency Alert,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-13T00:00:00Z,True
NOT-10090,USR-1066,Government Advisory Issued,Your compliance certificate has been issued for this quarter.,2026-08-10T00:00:00Z,True
NOT-10091,USR-1038,New Veterinarian Assigned,A new government advisory has been issued for your district. Please review immediately.,2026-08-25T00:00:00Z,False
NOT-10092,USR-1001,New Veterinarian Assigned,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-21T00:00:00Z,False
NOT-10093,USR-1075,Disease Alert in Your District,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-12T00:00:00Z,False
NOT-10094,USR-1000,Report Ready for Download,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-06T00:00:00Z,True
NOT-10095,USR-1006,Government Advisory Issued,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-16T00:00:00Z,False
NOT-10096,USR-1100,Farm Registration Approved,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-07-28T00:00:00Z,True
NOT-10097,USR-1011,Vaccination Completed,A new government advisory has been issued for your district. Please review immediately.,2026-08-23T00:00:00Z,True
NOT-10098,USR-1055,Compliance Certificate Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-18T00:00:00Z,True
NOT-10099,USR-1004,New Veterinarian Assigned,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-20T00:00:00Z,False
NOT-10100,USR-1054,Report Ready for Download,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-07-30T00:00:00Z,False
NOT-10101,USR-1038,Compliance Certificate Issued,A new government advisory has been issued for your district. Please review immediately.,2026-08-22T00:00:00Z,False
NOT-10102,USR-1086,AI Health Alert,Your compliance certificate has been issued for this quarter.,2026-08-23T00:00:00Z,True
NOT-10103,USR-1032,Biosecurity Score Updated,Your monthly health report is ready for download.,2026-08-10T00:00:00Z,True
NOT-10104,USR-1038,Government Advisory Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-18T00:00:00Z,False
NOT-10105,USR-1069,Biosecurity Score Updated,Your monthly health report is ready for download.,2026-08-02T00:00:00Z,False
NOT-10106,USR-1012,Biosecurity Score Updated,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-13T00:00:00Z,False
NOT-10107,USR-1064,Emergency Alert,Vaccination campaign completed successfully. Records updated.,2026-08-16T00:00:00Z,False
NOT-10108,USR-1045,Report Ready for Download,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-14T00:00:00Z,False
NOT-10109,USR-1059,Vaccination Due Reminder,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-27T00:00:00Z,False
NOT-10110,USR-1011,Biosecurity Score Updated,Your compliance certificate has been issued for this quarter.,2026-07-29T00:00:00Z,False
NOT-10111,USR-1100,Inspection Scheduled,Your compliance certificate has been issued for this quarter.,2026-08-11T00:00:00Z,False
NOT-10112,USR-1016,Compliance Certificate Issued,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-07-30T00:00:00Z,False
NOT-10113,USR-1006,Report Ready for Download,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-15T00:00:00Z,True
NOT-10114,USR-1059,Farm Registration Approved,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-01T00:00:00Z,True
NOT-10115,USR-1010,Vaccination Due Reminder,A new government advisory has been issued for your district. Please review immediately.,2026-08-01T00:00:00Z,True
NOT-10116,USR-1042,Compliance Certificate Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-01T00:00:00Z,False
NOT-10117,USR-1072,New Veterinarian Assigned,Vaccination campaign completed successfully. Records updated.,2026-08-17T00:00:00Z,True
NOT-10118,USR-1015,Vaccination Completed,Your compliance certificate has been issued for this quarter.,2026-08-06T00:00:00Z,True
NOT-10119,USR-1089,Inspection Scheduled,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-23T00:00:00Z,False
NOT-10120,USR-1017,Inspection Scheduled,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-07T00:00:00Z,True
NOT-10121,USR-1038,Emergency Alert,A new government advisory has been issued for your district. Please review immediately.,2026-08-04T00:00:00Z,True
NOT-10122,USR-1103,New Veterinarian Assigned,Your compliance certificate has been issued for this quarter.,2026-08-05T00:00:00Z,True
NOT-10123,USR-1014,Disease Alert in Your District,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-23T00:00:00Z,True
NOT-10124,USR-1066,Disease Alert in Your District,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-21T00:00:00Z,True
NOT-10125,USR-1060,Vaccination Due Reminder,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-13T00:00:00Z,False
NOT-10126,USR-1007,Disease Alert in Your District,A new government advisory has been issued for your district. Please review immediately.,2026-08-15T00:00:00Z,False
NOT-10127,USR-1023,Inspection Scheduled,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-19T00:00:00Z,False
NOT-10128,USR-1084,Compliance Certificate Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-14T00:00:00Z,True
NOT-10129,USR-1081,Vaccination Due Reminder,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-23T00:00:00Z,True
NOT-10130,USR-1021,Farm Registration Approved,Vaccination campaign completed successfully. Records updated.,2026-08-05T00:00:00Z,True
NOT-10131,USR-1060,New Veterinarian Assigned,A new government advisory has been issued for your district. Please review immediately.,2026-08-18T00:00:00Z,True
NOT-10132,USR-1075,New Veterinarian Assigned,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-06T00:00:00Z,False
NOT-10133,USR-1050,Report Ready for Download,Vaccination campaign completed successfully. Records updated.,2026-08-02T00:00:00Z,True
NOT-10134,USR-1059,Report Ready for Download,Your monthly health report is ready for download.,2026-08-23T00:00:00Z,True
NOT-10135,USR-1036,New Veterinarian Assigned,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-09T00:00:00Z,False
NOT-10136,USR-1001,Compliance Certificate Issued,A new government advisory has been issued for your district. Please review immediately.,2026-08-26T00:00:00Z,False
NOT-10137,USR-1005,AI Health Alert,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-13T00:00:00Z,False
NOT-10138,USR-1035,Vaccination Due Reminder,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-16T00:00:00Z,True
NOT-10139,USR-1044,Vaccination Completed,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-15T00:00:00Z,True
NOT-10140,USR-1022,Emergency Alert,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-16T00:00:00Z,False
NOT-10141,USR-1058,Vaccination Completed,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-19T00:00:00Z,False
NOT-10142,USR-1050,Disease Alert in Your District,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-12T00:00:00Z,False
NOT-10143,USR-1060,Compliance Certificate Issued,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-22T00:00:00Z,False
NOT-10144,USR-1016,Vaccination Completed,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-09T00:00:00Z,False
NOT-10145,USR-1074,Compliance Certificate Issued,Your monthly health report is ready for download.,2026-08-25T00:00:00Z,True
NOT-10146,USR-1003,Vaccination Completed,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-20T00:00:00Z,True
NOT-10147,USR-1085,Disease Alert in Your District,A new veterinarian has been assigned to your farm. Contact details shared.,2026-07-29T00:00:00Z,False
NOT-10148,USR-1041,Inspection Scheduled,Vaccination campaign completed successfully. Records updated.,2026-08-02T00:00:00Z,True
NOT-10149,USR-1013,Biosecurity Score Updated,Vaccination campaign completed successfully. Records updated.,2026-07-30T00:00:00Z,False
NOT-10150,USR-1096,Report Ready for Download,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-26T00:00:00Z,False
NOT-10151,USR-1014,Vaccination Due Reminder,Vaccination campaign completed successfully. Records updated.,2026-08-25T00:00:00Z,False
NOT-10152,USR-1097,AI Health Alert,Your compliance certificate has been issued for this quarter.,2026-08-07T00:00:00Z,True
NOT-10153,USR-1022,AI Health Alert,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-05T00:00:00Z,False
NOT-10154,USR-1048,Biosecurity Score Updated,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-09T00:00:00Z,True
NOT-10155,USR-1025,Government Advisory Issued,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-13T00:00:00Z,False
NOT-10156,USR-1028,Inspection Scheduled,Vaccination campaign completed successfully. Records updated.,2026-08-22T00:00:00Z,False
NOT-10157,USR-1067,Inspection Scheduled,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-09T00:00:00Z,True
NOT-10158,USR-1080,Emergency Alert,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-21T00:00:00Z,True
NOT-10159,USR-1103,Biosecurity Score Updated,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-16T00:00:00Z,False
NOT-10160,USR-1072,Farm Registration Approved,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-17T00:00:00Z,True
NOT-10161,USR-1087,Vaccination Completed,Vaccination campaign completed successfully. Records updated.,2026-08-07T00:00:00Z,False
NOT-10162,USR-1024,Inspection Scheduled,Your compliance certificate has been issued for this quarter.,2026-08-01T00:00:00Z,False
NOT-10163,USR-1064,AI Health Alert,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-08T00:00:00Z,True
NOT-10164,USR-1102,Disease Alert in Your District,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-14T00:00:00Z,False
NOT-10165,USR-1009,Compliance Certificate Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-23T00:00:00Z,False
NOT-10166,USR-1012,Disease Alert in Your District,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-20T00:00:00Z,True
NOT-10167,USR-1076,Farm Registration Approved,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-27T00:00:00Z,True
NOT-10168,USR-1037,Government Advisory Issued,Your monthly health report is ready for download.,2026-08-05T00:00:00Z,False
NOT-10169,USR-1008,Biosecurity Score Updated,A new government advisory has been issued for your district. Please review immediately.,2026-08-25T00:00:00Z,True
NOT-10170,USR-1066,Compliance Certificate Issued,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-18T00:00:00Z,False
NOT-10171,USR-1079,Vaccination Due Reminder,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-05T00:00:00Z,True
NOT-10172,USR-1074,New Veterinarian Assigned,A new government advisory has been issued for your district. Please review immediately.,2026-08-07T00:00:00Z,True
NOT-10173,USR-1004,AI Health Alert,Your monthly health report is ready for download.,2026-08-19T00:00:00Z,True
NOT-10174,USR-1042,Vaccination Due Reminder,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-21T00:00:00Z,False
NOT-10175,USR-1096,Emergency Alert,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-20T00:00:00Z,False
NOT-10176,USR-1009,Compliance Certificate Issued,Your compliance certificate has been issued for this quarter.,2026-08-05T00:00:00Z,True
NOT-10177,USR-1044,Disease Alert in Your District,Your monthly health report is ready for download.,2026-08-08T00:00:00Z,True
NOT-10178,USR-1070,New Veterinarian Assigned,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-19T00:00:00Z,True
NOT-10179,USR-1013,Vaccination Due Reminder,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-11T00:00:00Z,True
NOT-10180,USR-1083,AI Health Alert,Your monthly health report is ready for download.,2026-08-12T00:00:00Z,False
NOT-10181,USR-1100,Inspection Scheduled,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-07-29T00:00:00Z,True
NOT-10182,USR-1003,Inspection Scheduled,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-08T00:00:00Z,False
NOT-10183,USR-1087,Emergency Alert,Vaccination campaign completed successfully. Records updated.,2026-08-27T00:00:00Z,False
NOT-10184,USR-1006,Report Ready for Download,Your monthly health report is ready for download.,2026-08-05T00:00:00Z,True
NOT-10185,USR-1055,Vaccination Completed,Your monthly health report is ready for download.,2026-08-10T00:00:00Z,True
NOT-10186,USR-1014,New Veterinarian Assigned,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-07-30T00:00:00Z,False
NOT-10187,USR-1045,Inspection Scheduled,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-14T00:00:00Z,True
NOT-10188,USR-1030,Inspection Scheduled,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-09T00:00:00Z,True
NOT-10189,USR-1029,Report Ready for Download,Vaccination campaign completed successfully. Records updated.,2026-08-03T00:00:00Z,True
NOT-10190,USR-1102,Vaccination Due Reminder,Vaccination campaign completed successfully. Records updated.,2026-08-20T00:00:00Z,True
NOT-10191,USR-1009,Vaccination Due Reminder,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-13T00:00:00Z,True
NOT-10192,USR-1036,Vaccination Due Reminder,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-16T00:00:00Z,True
NOT-10193,USR-1037,Biosecurity Score Updated,Your compliance certificate has been issued for this quarter.,2026-08-15T00:00:00Z,False
NOT-10194,USR-1084,Disease Alert in Your District,Emergency alert: Disease outbreak confirmed nearby. Implement quarantine immediately.,2026-08-25T00:00:00Z,True
NOT-10195,USR-1032,Farm Registration Approved,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-12T00:00:00Z,False
NOT-10196,USR-1028,New Veterinarian Assigned,Vaccination campaign completed successfully. Records updated.,2026-08-18T00:00:00Z,False
NOT-10197,USR-1099,Farm Registration Approved,A new government advisory has been issued for your district. Please review immediately.,2026-07-31T00:00:00Z,True
NOT-10198,USR-1067,Government Advisory Issued,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-05T00:00:00Z,True
NOT-10199,USR-1006,AI Health Alert,Your monthly health report is ready for download.,2026-08-05T00:00:00Z,False
